# WYSIWYG Option Chain Data
# Symbol: ETERNAL
# Expiry: Active View
# Underlying: N/A
# Downloaded: 19/4/2026, 10:04:08 am

Calls,,,,,,,,,,,,,,,,,,,,,,,,,,Puts,,,,,,,,,,,,,,,,,,,,,,,
Rho,Vega,Gamma,Theta,Delta,To BE %,BE,IV spread,Ask IV %,Bid IV %,Time value,Intr value,Ann ask %,Ann bid %,Ask %,Bid %,LTP,Theor,Spread,Ask,Bid,Rel dist,Distance,Volume,Strike,IV,Volume,Distance,Rel dist,Bid,Ask,Spread,Theor,LTP,Bid %,Ask %,Ann bid %,Ann ask %,Intr value,Time value,Bid IV %,Ask IV %,IV spread,BE,To BE %,Delta,Theta,Gamma,Vega,Rho
April 28 9 DTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.057,0.12,0.013,−0.26,0.81,0.77%,254.55,2.67%,51.15%,48.47%,1.94,17.61,319.49%,314.19%,7.88%,7.75%,19.85,19.55,1.67%,19.90,19.57,6.97%,17.61,"274,025",235.0,48.50%,"1,210,075",17.61,6.97%,2.31,2.42,4.65%,2.40,2.40,0.91%,0.96%,37.09%,38.85%,0,2.40,47.93%,48.84%,0.91%,232.60,7.92%,−0.19,−0.26,0.013,0.12,−0.016
0.055,0.13,0.014,−0.28,0.78,0.95%,255.00,13.10%,51.14%,38.04%,2.39,15.11,289.30%,262.49%,7.13%,6.47%,17.75,17.50,9.72%,18.02,16.35,5.98%,15.11,"155,200",237.5,47.41%,"395,275",15.11,5.98%,2.71,2.86,5.39%,2.80,2.85,1.07%,1.13%,43.51%,45.92%,0,2.80,46.57%,47.70%,1.14%,234.70,7.09%,−0.22,−0.28,0.014,0.13,−0.018
0.053,0.14,0.016,−0.29,0.74,1.16%,255.55,2.14%,48.92%,46.78%,2.94,12.61,255.43%,250.45%,6.30%,6.18%,15.85,15.55,1.97%,15.91,15.60,4.99%,12.61,"1,990,925",240.0,46.27%,"3,230,100",12.61,4.99%,3.30,3.36,1.80%,3.35,3.35,1.31%,1.33%,52.98%,53.94%,0,3.35,46.06%,46.48%,0.42%,236.65,6.32%,−0.26,−0.29,0.016,0.14,−0.021
0.051,0.15,0.017,−0.31,0.70,1.38%,256.10,1.48%,47.59%,46.11%,3.49,10.11,224.76%,221.07%,5.54%,5.45%,14.05,13.60,1.66%,14.00,13.77,4.00%,10.11,"768,725",242.5,45.14%,"778,425",10.11,4.00%,3.82,4.04,5.60%,3.90,3.95,1.51%,1.60%,61.33%,64.86%,0,3.90,44.46%,45.90%,1.43%,238.60,5.55%,−0.30,−0.31,0.017,0.15,−0.024
0.048,0.16,0.019,−0.32,0.66,1.68%,256.85,2.75%,47.93%,45.18%,4.24,7.61,199.88%,192.66%,4.93%,4.75%,12.20,11.85,3.68%,12.45,12.00,3.01%,7.61,"960,300",245.0,44.34%,"3,741,775",7.61,3.01%,4.62,4.71,1.93%,4.65,4.65,1.83%,1.86%,74.17%,75.62%,0,4.65,44.06%,44.62%,0.55%,240.35,4.85%,−0.34,−0.32,0.019,0.16,−0.028
0.045,0.17,0.020,−0.33,0.61,2.05%,257.80,12.43%,52.06%,39.62%,5.19,5.11,187.36%,153.32%,4.62%,3.78%,10.65,10.30,19.98%,11.67,9.55,2.02%,5.11,"1,006,375",247.5,43.93%,"1,993,350",5.11,2.02%,5.46,5.70,4.30%,5.60,5.50,2.16%,2.26%,87.66%,91.51%,0,5.60,43.21%,44.62%,1.41%,241.90,4.24%,−0.39,−0.33,0.020,0.17,−0.032
0.041,0.17,0.021,−0.33,0.56,2.41%,258.70,0.40%,44.26%,43.86%,6.09,2.61,143.69%,142.56%,3.54%,3.52%,9.00,8.70,0.79%,8.95,8.88,1.03%,2.61,"15,226,575",250.0,42.77%,"7,015,525",2.61,1.03%,6.44,6.54,1.54%,6.50,6.50,2.55%,2.59%,103.39%,105.00%,0,6.50,42.48%,43.06%,0.57%,243.50,3.61%,−0.44,−0.33,0.021,0.17,−0.036
0.037,0.18,0.021,−0.34,0.51,2.95%,260.05,0.45%,43.63%,43.18%,7.44,0.11,121.69%,120.41%,3.00%,2.97%,7.65,7.55,1.06%,7.58,7.50,0.04%,0.11,"8,834,275",252.5,43.46%,"4,937,300",0.11,0.04%,7.54,7.64,1.32%,7.85,7.65,2.98%,3.02%,121.05%,122.66%,0,7.85,41.71%,42.28%,0.56%,244.65,3.15%,−0.49,−0.34,0.021,0.18,−0.041
ETERNAL 252.61 INR −0.10 −0.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.034,0.18,0.021,−0.33,0.46,3.44%,261.30,0.34%,43.08%,42.74%,6.30,0,101.95%,100.98%,2.51%,2.49%,6.45,6.30,0.95%,6.35,6.29,0.95%,2.39,"15,934,675",255.0,42.91%,"3,479,875",2.39,0.95%,8.79,8.93,1.58%,9.10,8.95,3.48%,3.54%,141.12%,143.37%,2.39,6.71,41.04%,41.83%,0.80%,245.90,2.66%,−0.54,−0.33,0.021,0.18,−0.045
0.030,0.17,0.021,−0.32,0.40,3.99%,262.70,0.70%,42.64%,41.94%,5.20,0,84.61%,82.68%,2.09%,2.04%,5.30,5.20,2.30%,5.27,5.15,1.94%,4.89,"2,599,600",257.5,42.31%,"725,075",4.89,1.94%,9.39,11.56,20.72%,10.50,10.25,3.72%,4.58%,150.75%,185.59%,4.89,5.61,35.74%,48.38%,12.64%,247.00,2.22%,−0.60,−0.32,0.021,0.17,−0.050
0.026,0.16,0.020,−0.31,0.35,4.61%,264.25,0.36%,42.04%,41.68%,4.25,0,68.87%,67.91%,1.70%,1.67%,4.35,4.25,1.41%,4.29,4.23,2.93%,7.39,"12,074,075",260.0,41.86%,"1,920,600",7.39,2.93%,10.59,11.89,11.57%,12.05,11.75,4.19%,4.71%,170.02%,190.89%,7.39,4.66,32.75%,40.84%,8.09%,247.95,1.84%,−0.65,−0.30,0.020,0.16,−0.054
0.023,0.16,0.019,−0.29,0.31,5.30%,266.00,0.32%,41.91%,41.59%,3.50,0,56.35%,55.55%,1.39%,1.37%,3.55,3.50,1.43%,3.51,3.46,3.92%,9.89,"2,075,800",262.5,41.75%,"55,775",9.89,3.92%,12.07,14.63,19.18%,13.80,13.25,4.78%,5.79%,193.78%,234.88%,9.89,3.91,30.12%,47.11%,16.99%,248.70,1.55%,−0.69,−0.29,0.019,0.16,−0.059
0.020,0.14,0.018,−0.27,0.26,6.01%,267.80,0.35%,41.64%,41.29%,2.80,0,45.27%,44.47%,1.12%,1.10%,2.90,2.80,1.79%,2.82,2.77,4.90%,12.39,"5,027,025",265.0,41.63%,"242,500",12.39,4.90%,15.02,15.38,2.37%,15.60,15.20,5.95%,6.09%,241.14%,246.92%,12.39,3.21,37.40%,39.99%,2.58%,249.40,1.27%,−0.74,−0.27,0.018,0.14,−0.063
0.017,0.13,0.016,−0.24,0.22,6.79%,269.75,0.99%,41.92%,40.93%,2.25,0,37.09%,35.00%,0.91%,0.86%,2.30,2.25,5.79%,2.31,2.18,5.89%,14.89,"754,175",267.5,41.43%,0,14.89,5.89%,15.57,18.68,18.16%,17.55,17.50,6.16%,7.39%,249.97%,299.90%,14.89,2.66,21.89%,49.63%,27.74%,249.95,1.05%,−0.78,−0.24,0.016,0.13,−0.066
0.014,0.12,0.014,−0.22,0.18,7.60%,271.80,0.25%,41.43%,41.17%,1.80,0,28.74%,28.26%,0.71%,0.70%,1.80,1.80,1.69%,1.79,1.76,6.88%,17.39,"5,737,550",270.0,41.30%,"235,225",17.39,6.88%,18.94,19.43,2.55%,19.55,19.15,7.50%,7.69%,304.07%,311.94%,17.39,2.16,35.58%,40.10%,4.52%,250.45,0.86%,−0.82,−0.21,0.014,0.12,−0.070
0.011,0.10,0.013,−0.19,0.15,8.43%,273.90,0.66%,41.96%,41.29%,1.40,0,23.60%,22.48%,0.58%,0.55%,1.45,1.40,4.88%,1.47,1.40,7.87%,19.89,"281,300",272.5,41.36%,0,19.89,7.87%,19.71,22.80,14.54%,21.70,21.45,7.80%,9.03%,316.44%,366.05%,19.89,1.81,15.91%,50.82%,34.91%,250.80,0.72%,−0.85,−0.19,0.013,0.10,−0.073
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
