# WYSIWYG Option Chain Data
# Symbol: TCS
# Expiry: Active View
# Underlying: N/A
# Downloaded: 18/4/2026, 12:45:04 pm

Calls,,,,,,,,,,,,,,,,,,,,,,,,,,Puts,,,,,,,,,,,,,,,,,,,,,,,
Rho,Vega,Gamma,Theta,Delta,To BE %,BE,IV spread,Ask IV %,Bid IV %,Time value,Intr value,Ann ask %,Ann bid %,Ask %,Bid %,LTP,Theor,Spread,Ask,Bid,Rel dist,Distance,Volume,Strike,IV,Volume,Distance,Rel dist,Bid,Ask,Spread,Theor,LTP,Bid %,Ask %,Ann bid %,Ann ask %,Intr value,Time value,Bid IV %,Ask IV %,IV spread,BE,To BE %,Delta,Theta,Gamma,Vega,Rho
April 28 10 DTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.67,0.72,0.0011,−1.00,0.91,0.31%,"2,589.40",—,—,—,7.90,181.50,239.23%,236.83%,6.55%,6.49%,166.75,189.40,1.01%,169.20,167.50,7.03%,181.50,"47,250","2,400",31.46%,"623,175",181.50,7.03%,5.80,5.95,2.55%,5.85,6.10,0.22%,0.23%,8.20%,8.41%,0,5.85,31.36%,31.57%,0.21%,"2,394.15",7.26%,−0.09,−1.00,0.0011,0.72,−0.07
0.66,0.83,0.0013,−1.10,0.89,0.35%,"2,590.60",11.25%,24.69%,13.44%,9.10,161.50,235.70%,207.56%,6.46%,5.69%,148.10,170.60,12.70%,166.70,146.80,6.26%,161.50,"19,425","2,420",30.29%,"213,850",161.50,6.26%,7.00,7.15,2.12%,7.10,7.35,0.27%,0.28%,9.90%,10.11%,0,7.10,30.20%,30.38%,0.18%,"2,412.90",6.53%,−0.10,−1.11,0.0013,0.83,−0.09
0.65,0.95,0.0016,−1.23,0.87,0.42%,"2,592.30",11.58%,23.33%,11.75%,10.80,141.50,208.41%,176.46%,5.71%,4.83%,129.85,152.30,16.61%,147.40,124.80,5.48%,141.50,"20,825","2,440",29.32%,"421,575",141.50,5.48%,8.65,8.85,2.29%,8.75,9.30,0.34%,0.34%,12.23%,12.51%,0,8.75,29.21%,29.42%,0.21%,"2,431.25",5.82%,−0.13,−1.24,0.0016,0.95,−0.11
0.63,1.10,0.0019,−1.38,0.84,0.51%,"2,594.55",8.18%,18.25%,10.07%,13.05,121.50,177.87%,157.58%,4.87%,4.32%,111.85,134.55,12.10%,125.80,111.45,4.71%,121.50,"26,425","2,460",28.50%,"444,150",121.50,4.71%,10.90,11.10,1.82%,11.00,11.60,0.42%,0.43%,15.41%,15.69%,0,11.00,28.41%,28.59%,0.18%,"2,449.00",5.13%,−0.16,−1.38,0.0019,1.10,−0.13
0.61,1.25,0.0022,−1.53,0.81,0.62%,"2,597.50",—,—,—,16.00,101.50,144.01%,132.41%,3.95%,3.63%,95.50,117.50,8.39%,101.85,93.65,3.93%,101.50,"58,450","2,480",27.79%,"437,325",101.50,3.93%,13.90,14.15,1.78%,13.95,14.80,0.54%,0.55%,19.65%,20.01%,0,13.95,27.75%,27.95%,0.20%,"2,466.05",4.47%,−0.19,−1.54,0.0022,1.25,−0.16
0.58,1.41,0.0025,−1.70,0.76,0.77%,"2,601.45",—,—,—,19.95,81.50,114.46%,113.32%,3.14%,3.10%,79.80,101.45,0.99%,80.95,80.15,3.16%,81.50,"502,950","2,500",27.29%,"1,597,050",81.50,3.16%,17.80,18.00,1.12%,17.90,18.75,0.69%,0.70%,25.17%,25.45%,0,17.90,27.22%,27.36%,0.14%,"2,482.10",3.85%,−0.24,−1.70,0.0025,1.41,−0.20
0.54,1.56,0.0028,−1.87,0.71,0.98%,"2,606.85",0.82%,12.02%,11.20%,25.35,61.50,94.38%,93.39%,2.59%,2.56%,65.35,86.85,1.05%,66.75,66.05,2.38%,61.50,"234,675","2,520",27.11%,"561,400",61.50,2.38%,23.10,23.40,1.29%,23.25,24.55,0.89%,0.91%,32.66%,33.09%,0,23.25,27.01%,27.20%,0.19%,"2,496.75",3.28%,−0.29,−1.87,0.0028,1.56,−0.24
0.50,1.69,0.0030,−2.03,0.65,1.25%,"2,613.80",0.31%,14.46%,14.14%,32.30,41.50,75.50%,74.87%,2.07%,2.05%,52.40,73.80,0.85%,53.40,52.95,1.61%,41.50,"893,025","2,540",27.21%,"1,032,150",41.50,1.61%,30.00,30.40,1.32%,30.20,31.20,1.16%,1.18%,42.42%,42.98%,0,30.20,27.09%,27.33%,0.24%,"2,509.80",2.78%,−0.35,−2.03,0.0030,1.69,−0.29
0.45,1.77,0.0031,−2.15,0.58,1.58%,"2,622.25",0.20%,15.88%,15.67%,40.75,21.50,59.38%,58.89%,1.63%,1.61%,41.15,62.25,0.84%,42.00,41.65,0.83%,21.50,"1,601,950","2,560",27.45%,"1,054,550",21.50,0.83%,38.40,38.90,1.29%,38.65,40.10,1.49%,1.51%,54.29%,55.00%,0,38.65,27.31%,27.59%,0.28%,"2,521.35",2.33%,−0.42,−2.15,0.0031,1.77,−0.34
0.40,1.81,0.0031,−2.24,0.52,1.98%,"2,632.55",0.22%,16.86%,16.64%,51.05,1.50,45.81%,45.25%,1.26%,1.24%,31.65,52.55,1.24%,32.40,32.00,0.06%,1.50,"1,667,400","2,580",28.00%,"684,425",1.50,0.06%,48.50,49.25,1.53%,48.95,50.55,1.88%,1.91%,68.57%,69.63%,0,48.95,27.74%,28.15%,0.41%,"2,531.05",1.95%,−0.48,−2.24,0.0031,1.81,−0.40
"TCS 2,581.50 INR +4.60 +0.18%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.33,1.78,0.0049,−1.38,0.42,1.66%,"2,624.35",0.08%,17.57%,17.49%,24.35,0,34.57%,34.36%,0.95%,0.94%,23.85,24.35,0.62%,24.45,24.30,0.72%,18.50,"3,377,500","2,600",17.53%,"593,950",18.50,0.72%,60.60,61.30,1.15%,40.75,63.05,2.35%,2.37%,85.68%,86.67%,18.50,22.25,28.57%,28.96%,0.39%,"2,559.25",0.86%,−0.57,−1.38,0.0049,1.78,−0.47
0.27,1.66,0.0044,−1.35,0.34,2.20%,"2,638.40",0.18%,18.43%,18.25%,18.40,0,26.23%,25.80%,0.72%,0.71%,17.90,18.40,1.63%,18.55,18.25,1.49%,38.50,"593,775","2,620",18.34%,"78,925",38.50,1.49%,69.25,78.85,12.96%,54.80,76.95,2.68%,3.05%,97.91%,111.49%,38.50,16.30,26.78%,32.23%,5.45%,"2,565.20",0.63%,−0.66,−1.35,0.0044,1.66,−0.55
0.21,1.49,0.0038,−1.27,0.27,2.81%,"2,653.95",0.07%,19.22%,19.16%,13.95,0,19.79%,19.65%,0.54%,0.54%,13.70,13.95,0.72%,14.00,13.90,2.27%,58.50,"845,250","2,640",19.19%,"23,275",58.50,2.27%,82.80,102.55,21.31%,70.35,92.15,3.21%,3.97%,117.07%,145.00%,58.50,11.85,27.05%,38.63%,11.58%,"2,569.65",0.46%,−0.73,−1.27,0.0038,1.49,−0.61
0.16,1.31,0.0032,−1.16,0.21,3.45%,"2,670.60",0.15%,20.11%,19.95%,10.60,0,15.13%,14.85%,0.41%,0.41%,10.30,10.60,1.89%,10.70,10.50,3.04%,78.50,"626,675","2,660",20.05%,"18,200",78.50,3.04%,95.70,115.30,18.58%,87.00,109.85,3.71%,4.47%,135.31%,163.02%,78.50,8.50,26.18%,38.38%,12.20%,"2,573.00",0.33%,−0.79,−1.16,0.0032,1.31,−0.66
0.13,1.13,0.0026,−1.05,0.17,4.14%,"2,688.30",0.13%,21.09%,20.96%,8.30,0,11.81%,11.59%,0.32%,0.32%,8.05,8.30,1.81%,8.35,8.20,3.82%,98.50,"592,200","2,680",21.03%,0,98.50,3.82%,108.60,131.25,18.89%,104.65,110.15,4.21%,5.08%,153.55%,185.58%,98.50,6.15,24.30%,39.62%,15.33%,"2,575.35",0.24%,−0.83,−1.05,0.0026,1.13,−0.70
0.10,0.98,0.0021,−0.96,0.13,4.85%,"2,706.65",0.20%,22.25%,22.04%,6.65,0,9.54%,9.26%,0.26%,0.25%,6.45,6.65,3.01%,6.75,6.55,4.59%,118.50,"1,635,025","2,700",22.15%,"32,550",118.50,4.59%,127.80,144.80,12.47%,123.00,144.90,4.95%,5.61%,180.70%,204.73%,118.50,4.50,26.54%,38.93%,12.39%,"2,577.00",0.17%,−0.87,−0.95,0.0021,0.98,−0.73
0.08,0.82,0.0017,−0.84,0.10,5.56%,"2,725.15",0.18%,23.00%,22.82%,5.15,0,7.35%,7.14%,0.20%,0.20%,4.95,5.15,2.93%,5.20,5.05,5.37%,138.50,"339,325","2,720",22.91%,"4,550",138.50,5.37%,145.70,165.75,12.88%,141.50,163.15,5.64%,6.42%,206.01%,234.36%,138.50,3.00,27.38%,42.82%,15.44%,"2,578.50",0.12%,−0.90,−0.83,0.0017,0.82,−0.76
0.07,0.70,0.0014,−0.74,0.08,6.30%,"2,744.10",0.14%,23.93%,23.78%,4.10,0,5.87%,5.73%,0.16%,0.16%,3.95,4.10,2.44%,4.15,4.05,6.14%,158.50,"342,825","2,740",23.85%,0,158.50,6.14%,169.95,191.40,11.87%,160.45,160.55,6.58%,7.41%,240.29%,270.62%,158.50,1.95,33.89%,49.83%,15.94%,"2,579.55",0.08%,−0.92,−0.74,0.0014,0.70,−0.78
0.05,0.60,0.0012,−0.65,0.07,7.04%,"2,763.30",0.25%,24.94%,24.69%,3.30,0,4.81%,4.60%,0.13%,0.13%,3.20,3.30,4.51%,3.40,3.25,6.91%,178.50,"354,900","2,760",24.80%,"2,450",178.50,6.91%,172.50,203.40,16.44%,179.65,178.65,6.68%,7.88%,243.90%,287.59%,178.50,1.15,13.57%,47.32%,33.75%,"2,580.35",0.04%,−0.93,−0.65,0.0012,0.60,−0.80
0.04,0.51,0.0010,−0.58,0.06,7.79%,"2,782.70",0.20%,25.82%,25.62%,2.70,0,3.89%,3.75%,0.11%,0.10%,2.65,2.70,3.70%,2.75,2.65,7.69%,198.50,"214,025","2,780",25.72%,0,198.50,7.69%,202.50,236.70,15.57%,199.05,197.20,7.84%,9.17%,286.32%,334.67%,198.50,0.55,31.11%,59.67%,28.56%,"2,580.95",0.02%,−0.94,−0.57,0.0010,0.51,−0.82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
